batch	activity	element	cycle	class
B	A3	L23	1	behaviour
B	A3	L24	1	behaviour
B	A3	L25	1	behaviour
B	A3	L26	1	behaviour
B	A3	L27	1	behaviour
B	A3	L32	1	store
B	A3	L33	1	behaviour
B	A3	L34	1	behaviour
B	A3	L35	1	behaviour
B	A3	L53	1	interface
B	A3	L54	1	behaviour
B	A3	D02	1	behaviour
B	A3	D08	1	behaviour
B	A3	D10	1	behaviour
B	A4	L03	1	interface
B	A4	L13	1	behaviour
B	A4	L14	1	behaviour
B	A4	L15	1	behaviour
B	A4	L16	1	interface
B	A4	L17	1	behaviour
B	A4	L18	1	interface
B	A4	L19	1	interface
B	A4	L20	1	behaviour
B	A4	L21	1	behaviour
B	A4	L22	1	behaviour
B	A4	L23	1	behaviour
B	A4	L24	1	behaviour
B	A4	L25	1	behaviour
B	A4	L26	1	behaviour
B	A4	L27	1	behaviour
B	A4	L32	1	store
B	A4	L33	1	behaviour
B	A4	L34	1	behaviour
B	A4	L35	1	behaviour
B	A4	L53	1	interface
B	A4	L54	1	behaviour
B	A4	D02	1	behaviour
B	A4	D08	1	behaviour
B	A4	D10	1	behaviour
B	A5	N20	1	aggregate
B	A5	N20	2	aggregate
B	A5	N21	1	aggregate
B	A5	N21	2	aggregate
B	A5	N22	1	aggregate
B	A5	N22	2	aggregate
B	A5	N23	1	aggregate
B	A5	N23	2	aggregate
B	A5	N30	1	aggregate
B	A5	N30	2	aggregate
B	A6	N20	1	aggregate
B	A6	N20	2	aggregate
B	A6	N21	1	aggregate
B	A6	N21	2	aggregate
B	A6	N22	1	aggregate
B	A6	N22	2	aggregate
B	A6	N23	1	aggregate
B	A6	N23	2	aggregate
B	A6	N30	1	aggregate
B	A6	N30	2	aggregate
B	A7	N20	1	aggregate
B	A7	N21	1	aggregate
B	A7	N22	1	aggregate
B	A7	N23	1	aggregate
B	A7	N30	1	aggregate
B	A8	N20	1	aggregate
B	A8	N21	1	aggregate
B	A8	N22	1	aggregate
B	A8	N23	1	aggregate
B	A8	N30	1	aggregate
B	A10	L03	1	interface
B	A10	L16	1	interface
B	A10	L18	1	interface
B	A10	L19	1	interface
B	A10	L53	1	interface
B	D2	N20	1	aggregate
B	D2	N21	1	aggregate
B	D2	N22	1	aggregate
B	D2	N23	1	aggregate
B	D2	N30	1	aggregate
B	D4	L03	1	interface
B	D4	L13	1	behaviour
B	D4	L14	1	behaviour
B	D4	L15	1	behaviour
B	D4	L16	1	interface
B	D4	L17	1	behaviour
B	D4	L18	1	interface
B	D4	L19	1	interface
B	D4	L20	1	behaviour
B	D4	L21	1	behaviour
B	D4	L22	1	behaviour
B	D4	L23	1	behaviour
B	D4	L24	1	behaviour
B	D4	L25	1	behaviour
B	D4	L26	1	behaviour
B	D4	L27	1	behaviour
B	D4	L32	1	store
B	D4	L33	1	behaviour
B	D4	L34	1	behaviour
B	D4	L35	1	behaviour
B	D4	L53	1	interface
B	D4	L54	1	behaviour
B	G1	L32	1	store
B	G2	L32	1	store
B	G3	L32	1	store
C	K1	L01	1	store
C	K1	L28	1	behaviour
C	K1	L29	1	surface
C	K1	L30	1	surface
C	K1	L31	1	behaviour
C	K1	L36	1	store
C	K1	L37	1	store
C	K1	L38	1	store
C	K1	L41	1	surface
C	K1	L42	1	surface
C	K1	L43	1	surface
C	K1	L44	1	surface
C	K1	L45	1	surface
C	K1	L47	1	behaviour
C	K1	L48	1	behaviour
C	K1	L49	1	store
C	K1	L50	1	store
C	K1	L51	1	interface
C	K1	L52	1	behaviour
C	K1	D03	1	store
C	K1	D04	1	behaviour
C	K1	D05	1	behaviour
C	K1	D06	1	store
C	K1	D07	1	behaviour
C	K1	D09	1	behaviour
C	K1	D11	1	store
C	K1	D12	1	interface
C	K2	L01	1	store
C	K2	L28	1	behaviour
C	K2	L29	1	surface
C	K2	L30	1	surface
C	K2	L31	1	behaviour
C	K2	L36	1	store
C	K2	L37	1	store
C	K2	L38	1	store
C	K2	L41	1	surface
C	K2	L42	1	surface
C	K2	L43	1	surface
C	K2	L44	1	surface
C	K2	L45	1	surface
C	K2	L47	1	behaviour
C	K2	L48	1	behaviour
C	K2	L49	1	store
C	K2	L50	1	store
C	K2	L51	1	interface
C	K2	L52	1	behaviour
C	K2	D03	1	store
C	K2	D04	1	behaviour
C	K2	D05	1	behaviour
C	K2	D06	1	store
C	K2	D07	1	behaviour
C	K2	D09	1	behaviour
C	K2	D11	1	store
C	K2	D12	1	interface
C	K3	L40	1	statement
C	K3	L46	1	statement
C	A2	L01	1	store
C	A2	L28	1	behaviour
C	A2	L29	1	surface
C	A2	L30	1	surface
C	A2	L31	1	behaviour
C	A2	L36	1	store
C	A2	L37	1	store
C	A2	L38	1	store
C	A2	L41	1	surface
C	A2	L42	1	surface
C	A2	L43	1	surface
C	A2	L44	1	surface
C	A2	L45	1	surface
C	A2	L47	1	behaviour
C	A2	L48	1	behaviour
C	A2	L49	1	store
C	A2	L50	1	store
C	A2	L51	1	interface
C	A2	L52	1	behaviour
C	A2	D03	1	store
C	A2	D04	1	behaviour
C	A2	D05	1	behaviour
C	A2	D06	1	store
C	A2	D07	1	behaviour
C	A2	D09	1	behaviour
C	A2	D11	1	store
C	A2	D12	1	interface
C	A3	L01	1	store
C	A3	L28	1	behaviour
C	A3	L29	1	surface
C	A3	L30	1	surface
C	A3	L31	1	behaviour
C	A3	L36	1	store
C	A3	L37	1	store
C	A3	L38	1	store
C	A3	L41	1	surface
C	A3	L42	1	surface
C	A3	L43	1	surface
C	A3	L44	1	surface
C	A3	L45	1	surface
C	A3	L47	1	behaviour
C	A3	L48	1	behaviour
C	A3	L49	1	store
C	A3	L50	1	store
C	A3	L51	1	interface
C	A3	L52	1	behaviour
C	A3	D03	1	store
C	A3	D04	1	behaviour
C	A3	D05	1	behaviour
C	A3	D06	1	store
C	A3	D07	1	behaviour
C	A3	D09	1	behaviour
C	A3	D11	1	store
C	A3	D12	1	interface
C	A4	L01	1	store
C	A4	L28	1	behaviour
C	A4	L29	1	surface
C	A4	L30	1	surface
C	A4	L31	1	behaviour
C	A4	L36	1	store
C	A4	L37	1	store
C	A4	L38	1	store
C	A4	L41	1	surface
C	A4	L42	1	surface
C	A4	L43	1	surface
C	A4	L44	1	surface
C	A4	L45	1	surface
C	A4	L47	1	behaviour
C	A4	L48	1	behaviour
C	A4	L49	1	store
C	A4	L50	1	store
C	A4	L51	1	interface
C	A4	L52	1	behaviour
C	A4	D03	1	store
C	A4	D04	1	behaviour
C	A4	D05	1	behaviour
C	A4	D06	1	store
C	A4	D07	1	behaviour
C	A4	D09	1	behaviour
C	A4	D11	1	store
C	A4	D12	1	interface
C	A5	N40	1	aggregate
C	A5	N40	2	aggregate
C	A5	N41	1	aggregate
C	A5	N41	2	aggregate
C	A5	N50	1	aggregate
C	A5	N50	2	aggregate
C	A5	N60	1	aggregate
C	A5	N60	2	aggregate
C	A5	N70	1	aggregate
C	A5	N70	2	aggregate
C	A5	N80	1	aggregate
C	A5	N80	2	aggregate
C	A5	N90	1	aggregate
C	A5	N90	2	aggregate
C	A6	N40	1	aggregate
C	A6	N40	2	aggregate
C	A6	N41	1	aggregate
C	A6	N41	2	aggregate
C	A6	N50	1	aggregate
C	A6	N50	2	aggregate
C	A6	N60	1	aggregate
C	A6	N60	2	aggregate
C	A6	N70	1	aggregate
C	A6	N70	2	aggregate
C	A6	N80	1	aggregate
C	A6	N80	2	aggregate
C	A6	N90	1	aggregate
C	A6	N90	2	aggregate
C	A7	N40	1	aggregate
C	A7	N41	1	aggregate
C	A7	N50	1	aggregate
C	A7	N60	1	aggregate
C	A7	N70	1	aggregate
C	A7	N80	1	aggregate
C	A7	N90	1	aggregate
C	A8	N40	1	aggregate
C	A8	N41	1	aggregate
C	A8	N50	1	aggregate
C	A8	N60	1	aggregate
C	A8	N70	1	aggregate
C	A8	N80	1	aggregate
C	A8	N90	1	aggregate
C	A10	L51	1	interface
C	A10	D12	1	interface
C	D2	N40	1	aggregate
C	D2	N41	1	aggregate
C	D2	N50	1	aggregate
C	D2	N60	1	aggregate
C	D2	N70	1	aggregate
C	D2	N80	1	aggregate
C	D2	N90	1	aggregate
C	D4	L01	1	store
C	D4	L28	1	behaviour
C	D4	L29	1	surface
C	D4	L30	1	surface
C	D4	L31	1	behaviour
C	D4	L36	1	store
C	D4	L37	1	store
C	D4	L38	1	store
C	D4	L40	1	statement
C	D4	L41	1	surface
C	D4	L42	1	surface
C	D4	L43	1	surface
C	D4	L44	1	surface
C	D4	L45	1	surface
C	D4	L46	1	statement
C	D4	L47	1	behaviour
C	D4	L48	1	behaviour
C	D4	L49	1	store
C	D4	L50	1	store
C	D4	L51	1	interface
C	D4	L52	1	behaviour
C	G1	L01	1	store
C	G1	L38	1	store
C	G1	D03	1	store
C	G2	L01	1	store
C	G2	L38	1	store
C	G2	D03	1	store
C	G3	L01	1	store
C	G3	L38	1	store
C	G3	D03	1	store
C	O1	N40	1	aggregate
C	O1	N41	1	aggregate
C	O1	N60	1	aggregate
C	O1	N70	1	aggregate
D	K1	L39	1	behaviour
D	K1	L56	1	behaviour
D	K2	L39	1	behaviour
D	K2	L56	1	behaviour
D	A2	L39	1	behaviour
D	A2	L56	1	behaviour
D	A3	L39	1	behaviour
D	A3	L56	1	behaviour
D	A4	L39	1	behaviour
D	A4	L56	1	behaviour
D	D4	L39	1	behaviour
D	D4	L56	1	behaviour
