batch	activity	element	cycle	class
B	O1	S-03.7	1	aggregate
C	K1	A-020	1	behaviour
C	K1	A-021	1	behaviour
C	K1	A-022	1	behaviour
C	K1	A-023	1	surface
C	K1	A-008	1	store
C	K1	A-009	1	behaviour
C	K1	A-155	1	behaviour
C	K1	A-073	1	store
C	K1	A-077	1	behaviour
C	K1	A-089	1	surface
C	K1	A-094	1	behaviour
C	K1	A-101	1	store
C	K1	A-103	1	behaviour
C	K1	A-104	1	behaviour
C	K1	A-107	1	behaviour
C	K1	A-108	1	surface
C	K1	A-109	1	behaviour
C	K1	A-085	1	behaviour
C	K1	A-110	1	surface
C	K1	A-111	1	surface
C	K1	A-112	1	interface
C	K1	A-114	1	store
C	K1	A-115	1	behaviour
C	K1	A-116	1	behaviour
C	K1	A-118	1	surface
C	K1	A-119	1	behaviour
C	K1	A-120	1	store
C	K1	A-121	1	store
C	K1	A-122	1	surface
C	K2	A-020	1	behaviour
C	K2	A-021	1	behaviour
C	K2	A-022	1	behaviour
C	K2	A-023	1	surface
C	K2	A-008	1	store
C	K2	A-009	1	behaviour
C	K2	A-155	1	behaviour
C	K2	A-073	1	store
C	K2	A-077	1	behaviour
C	K2	A-089	1	surface
C	K2	A-094	1	behaviour
C	K2	A-101	1	store
C	K2	A-103	1	behaviour
C	K2	A-104	1	behaviour
C	K2	A-107	1	behaviour
C	K2	A-108	1	surface
C	K2	A-109	1	behaviour
C	K2	A-085	1	behaviour
C	K2	A-110	1	surface
C	K2	A-111	1	surface
C	K2	A-112	1	interface
C	K2	A-114	1	store
C	K2	A-115	1	behaviour
C	K2	A-116	1	behaviour
C	K2	A-118	1	surface
C	K2	A-119	1	behaviour
C	K2	A-120	1	store
C	K2	A-121	1	store
C	K2	A-122	1	surface
C	A2	A-020	1	behaviour
C	A2	A-021	1	behaviour
C	A2	A-022	1	behaviour
C	A2	A-023	1	surface
C	A2	A-008	1	store
C	A2	A-009	1	behaviour
C	A2	A-155	1	behaviour
C	A2	A-073	1	store
C	A2	A-077	1	behaviour
C	A2	A-089	1	surface
C	A2	A-094	1	behaviour
C	A2	A-101	1	store
C	A2	A-103	1	behaviour
C	A2	A-104	1	behaviour
C	A2	A-107	1	behaviour
C	A2	A-108	1	surface
C	A2	A-109	1	behaviour
C	A2	A-085	1	behaviour
C	A2	A-110	1	surface
C	A2	A-111	1	surface
C	A2	A-112	1	interface
C	A2	A-114	1	store
C	A2	A-115	1	behaviour
C	A2	A-116	1	behaviour
C	A2	A-118	1	surface
C	A2	A-119	1	behaviour
C	A2	A-120	1	store
C	A2	A-121	1	store
C	A2	A-122	1	surface
C	A3	A-020	1	behaviour
C	A3	A-021	1	behaviour
C	A3	A-022	1	behaviour
C	A3	A-023	1	surface
C	A3	A-008	1	store
C	A3	A-009	1	behaviour
C	A3	A-155	1	behaviour
C	A3	A-073	1	store
C	A3	A-077	1	behaviour
C	A3	A-089	1	surface
C	A3	A-094	1	behaviour
C	A3	A-101	1	store
C	A3	A-103	1	behaviour
C	A3	A-104	1	behaviour
C	A3	A-107	1	behaviour
C	A3	A-108	1	surface
C	A3	A-109	1	behaviour
C	A3	A-085	1	behaviour
C	A3	A-110	1	surface
C	A3	A-111	1	surface
C	A3	A-112	1	interface
C	A3	A-114	1	store
C	A3	A-115	1	behaviour
C	A3	A-116	1	behaviour
C	A3	A-118	1	surface
C	A3	A-119	1	behaviour
C	A3	A-120	1	store
C	A3	A-121	1	store
C	A3	A-122	1	surface
C	A4	A-020	1	behaviour
C	A4	A-021	1	behaviour
C	A4	A-022	1	behaviour
C	A4	A-023	1	surface
C	A4	A-008	1	store
C	A4	A-009	1	behaviour
C	A4	A-155	1	behaviour
C	A4	A-073	1	store
C	A4	A-077	1	behaviour
C	A4	A-089	1	surface
C	A4	A-094	1	behaviour
C	A4	A-101	1	store
C	A4	A-103	1	behaviour
C	A4	A-104	1	behaviour
C	A4	A-107	1	behaviour
C	A4	A-108	1	surface
C	A4	A-109	1	behaviour
C	A4	A-085	1	behaviour
C	A4	A-110	1	surface
C	A4	A-111	1	surface
C	A4	A-112	1	interface
C	A4	A-114	1	store
C	A4	A-115	1	behaviour
C	A4	A-116	1	behaviour
C	A4	A-118	1	surface
C	A4	A-119	1	behaviour
C	A4	A-120	1	store
C	A4	A-121	1	store
C	A4	A-122	1	surface
C	A10	A-112	1	interface
C	A5	S-04	1	aggregate
C	A5	S-04	2	aggregate
C	A5	S-04.1	1	aggregate
C	A5	S-04.1	2	aggregate
C	A5	S-04.2	1	aggregate
C	A5	S-04.2	2	aggregate
C	A5	S-05	1	aggregate
C	A5	S-05	2	aggregate
C	A5	S-05.1	1	aggregate
C	A5	S-05.1	2	aggregate
C	A5	S-05.2	1	aggregate
C	A5	S-05.2	2	aggregate
C	A5	S-05.3	1	aggregate
C	A5	S-05.3	2	aggregate
C	A5	S-05.4	1	aggregate
C	A5	S-05.4	2	aggregate
C	A5	S-06	1	aggregate
C	A5	S-06	2	aggregate
C	A5	S-06.1	1	aggregate
C	A5	S-06.1	2	aggregate
C	A5	S-06.3	1	aggregate
C	A5	S-06.3	2	aggregate
C	A6	S-04	1	aggregate
C	A6	S-04	2	aggregate
C	A6	S-04.1	1	aggregate
C	A6	S-04.1	2	aggregate
C	A6	S-04.2	1	aggregate
C	A6	S-04.2	2	aggregate
C	A6	S-05	1	aggregate
C	A6	S-05	2	aggregate
C	A6	S-05.1	1	aggregate
C	A6	S-05.1	2	aggregate
C	A6	S-05.2	1	aggregate
C	A6	S-05.2	2	aggregate
C	A6	S-05.3	1	aggregate
C	A6	S-05.3	2	aggregate
C	A6	S-05.4	1	aggregate
C	A6	S-05.4	2	aggregate
C	A6	S-06	1	aggregate
C	A6	S-06	2	aggregate
C	A6	S-06.1	1	aggregate
C	A6	S-06.1	2	aggregate
C	A6	S-06.3	1	aggregate
C	A6	S-06.3	2	aggregate
C	A7	S-04	1	aggregate
C	A7	S-04.1	1	aggregate
C	A7	S-04.2	1	aggregate
C	A7	S-05	1	aggregate
C	A7	S-05.1	1	aggregate
C	A7	S-05.2	1	aggregate
C	A7	S-05.3	1	aggregate
C	A7	S-05.4	1	aggregate
C	A7	S-06	1	aggregate
C	A7	S-06.1	1	aggregate
C	A7	S-06.3	1	aggregate
C	A8	S-04	1	aggregate
C	A8	S-04.1	1	aggregate
C	A8	S-04.2	1	aggregate
C	A8	S-05	1	aggregate
C	A8	S-05.1	1	aggregate
C	A8	S-05.2	1	aggregate
C	A8	S-05.3	1	aggregate
C	A8	S-05.4	1	aggregate
C	A8	S-06	1	aggregate
C	A8	S-06.1	1	aggregate
C	A8	S-06.3	1	aggregate
C	U1	S-04	1	aggregate
C	U1	S-04.1	1	aggregate
C	U1	S-05	1	aggregate
C	U1	S-05.1	1	aggregate
C	U1	S-05.3	1	aggregate
C	U1	S-05.4	1	aggregate
C	U1	S-06	1	aggregate
C	U1	S-06.1	1	aggregate
C	U1	S-06.3	1	aggregate
C	U2	S-04	1	aggregate
C	U2	S-04	2	aggregate
C	U2	S-04.1	1	aggregate
C	U2	S-04.1	2	aggregate
C	U2	S-05	1	aggregate
C	U2	S-05	2	aggregate
C	U2	S-05.1	1	aggregate
C	U2	S-05.1	2	aggregate
C	U2	S-05.3	1	aggregate
C	U2	S-05.3	2	aggregate
C	U2	S-05.4	1	aggregate
C	U2	S-05.4	2	aggregate
C	U2	S-06	1	aggregate
C	U2	S-06	2	aggregate
C	U2	S-06.1	1	aggregate
C	U2	S-06.1	2	aggregate
C	U2	S-06.3	1	aggregate
C	U2	S-06.3	2	aggregate
C	U3	S-04	1	aggregate
C	U3	S-04	2	aggregate
C	U3	S-04.1	1	aggregate
C	U3	S-04.1	2	aggregate
C	U3	S-05	1	aggregate
C	U3	S-05	2	aggregate
C	U3	S-05.1	1	aggregate
C	U3	S-05.1	2	aggregate
C	U3	S-05.3	1	aggregate
C	U3	S-05.3	2	aggregate
C	U3	S-05.4	1	aggregate
C	U3	S-05.4	2	aggregate
C	U3	S-06	1	aggregate
C	U3	S-06	2	aggregate
C	U3	S-06.1	1	aggregate
C	U3	S-06.1	2	aggregate
C	U3	S-06.3	1	aggregate
C	U3	S-06.3	2	aggregate
C	D2	S-04	1	aggregate
C	D2	S-04.1	1	aggregate
C	D2	S-04.2	1	aggregate
C	D2	S-05	1	aggregate
C	D2	S-05.1	1	aggregate
C	D2	S-05.2	1	aggregate
C	D2	S-05.3	1	aggregate
C	D2	S-05.4	1	aggregate
C	D2	S-06	1	aggregate
C	D2	S-06.1	1	aggregate
C	D2	S-06.3	1	aggregate
C	D4	A-020	1	behaviour
C	D4	A-021	1	behaviour
C	D4	A-022	1	behaviour
C	D4	A-023	1	surface
C	D4	A-008	1	store
C	D4	A-009	1	behaviour
C	D4	A-155	1	behaviour
C	D4	A-073	1	store
C	D4	A-077	1	behaviour
C	D4	A-089	1	surface
C	D4	A-094	1	behaviour
C	D4	A-101	1	store
C	D4	A-103	1	behaviour
C	D4	A-104	1	behaviour
C	D4	A-107	1	behaviour
C	D4	A-108	1	surface
C	D4	A-109	1	behaviour
C	D4	A-085	1	behaviour
C	D4	A-110	1	surface
C	D4	A-111	1	surface
C	D4	A-112	1	interface
C	D4	A-114	1	store
C	D4	A-115	1	behaviour
C	D4	A-116	1	behaviour
C	D4	A-118	1	surface
C	D4	A-119	1	behaviour
C	D4	A-120	1	store
C	D4	A-121	1	store
C	D4	A-122	1	surface
C	G2m	A-008	1	store
C	G2m	A-073	1	store
C	G2m	A-101	1	store
C	G2m	A-114	1	store
C	G2m	A-120	1	store
C	G2m	A-121	1	store
C	G3m	A-008	1	store
C	G3m	A-073	1	store
C	G3m	A-101	1	store
C	G3m	A-114	1	store
C	G3m	A-120	1	store
C	G3m	A-121	1	store
C	G4m	A-008	1	store
C	G4m	A-073	1	store
C	G4m	A-101	1	store
C	G4m	A-114	1	store
C	G4m	A-120	1	store
C	G4m	A-121	1	store
C	O1	S-04	1	aggregate
C	O1	S-04.1	1	aggregate
C	O1	S-05	1	aggregate
C	O1	S-05.1	1	aggregate
C	O1	S-05.3	1	aggregate
C	O1	S-05.4	1	aggregate
C	O1	S-06	1	aggregate
C	O1	S-06.1	1	aggregate
C	O1	S-06.3	1	aggregate
D	K1	A-060	1	behaviour
D	K1	A-061	1	behaviour
D	K1	A-062	1	behaviour
D	K1	A-063	1	behaviour
D	K1	A-069	1	behaviour
D	K1	C-019	1	behaviour
D	K1	A-011	1	store
D	K1	A-067	1	surface
D	K1	A-068	1	behaviour
D	K1	A-064	1	behaviour
D	K1	A-065	1	behaviour
D	K1	A-066	1	behaviour
D	K1	A-126	1	behaviour
D	K1	C-020	1	behaviour
D	K1	A-123	1	behaviour
D	K1	A-124	1	surface
D	K1	A-125	1	surface
D	K1	A-127	1	surface
D	K1	A-128	1	surface
D	K1	A-012	1	behaviour
D	K1	A-130	1	surface
D	K2	A-060	1	behaviour
D	K2	A-061	1	behaviour
D	K2	A-062	1	behaviour
D	K2	A-063	1	behaviour
D	K2	A-069	1	behaviour
D	K2	C-019	1	behaviour
D	K2	A-011	1	store
D	K2	A-067	1	surface
D	K2	A-068	1	behaviour
D	K2	A-064	1	behaviour
D	K2	A-065	1	behaviour
D	K2	A-066	1	behaviour
D	K2	A-126	1	behaviour
D	K2	C-020	1	behaviour
D	K2	A-123	1	behaviour
D	K2	A-124	1	surface
D	K2	A-125	1	surface
D	K2	A-127	1	surface
D	K2	A-128	1	surface
D	K2	A-012	1	behaviour
D	K2	A-130	1	surface
D	K3	A-010	1	statement
D	A2	A-060	1	behaviour
D	A2	A-061	1	behaviour
D	A2	A-062	1	behaviour
D	A2	A-063	1	behaviour
D	A2	A-069	1	behaviour
D	A2	C-019	1	behaviour
D	A2	A-011	1	store
D	A2	A-067	1	surface
D	A2	A-068	1	behaviour
D	A2	A-064	1	behaviour
D	A2	A-065	1	behaviour
D	A2	A-066	1	behaviour
D	A2	A-126	1	behaviour
D	A2	C-020	1	behaviour
