participant	line	pm
P-27	L7	14.0
P-27	L8	14.0
P-27	L9	11.0
P-27	L10	9.0
P-27	L11	10.0
P-27	L12	5.0
P-27	L13	10.0
P-27	L14	12.0
P-27	L15	12.0
P-27	L16	8.0
P-27	L17	20.0
P-28	L1	10.0
P-28	L2	12.0
P-28	L3	12.0
P-28	L4	5.0
P-28	L5	16.0
P-28	L6	7.0
P-28	L7	10.0
P-28	L8	12.0
P-28	L9	10.0
P-28	L10	8.0
P-28	L11	10.0
P-28	L12	4.0
P-28	L13	8.0
P-28	L14	9.0
P-28	L15	8.0
P-28	L16	6.0
P-28	L17	18.0
P-29	L1	12.0
P-29	L2	14.0
P-29	L3	14.0
P-29	L4	6.0
P-29	L5	24.0
P-29	L6	8.0
P-29	L7	14.0
P-29	L8	14.0
P-29	L9	12.0
P-29	L10	10.0
P-29	L11	12.0
P-29	L12	5.0
P-29	L13	10.0
P-29	L14	12.0
P-29	L15	10.0
P-29	L16	8.0
P-29	L17	20.0
P-30	L1	10.0
P-30	L2	14.0
P-30	L3	14.0
P-30	L4	6.0
P-30	L5	18.0
P-30	L6	8.0
P-30	L7	12.0
P-30	L8	12.0
P-30	L9	12.0
P-30	L10	8.0
P-30	L11	10.0
P-30	L12	4.0
P-30	L13	9.0
P-30	L14	8.0
P-30	L15	9.0
P-30	L16	6.0
P-30	L17	18.0
P-31	L1	10.0
P-31	L2	12.0
P-31	L3	11.0
P-31	L4	6.0
P-31	L5	18.0
P-31	L6	8.0
P-31	L7	12.0
P-31	L8	12.0
P-31	L9	10.0
P-31	L10	8.0
P-31	L11	10.0
P-31	L12	4.0
P-31	L13	9.0
P-31	L14	10.0
P-31	L15	8.0
P-31	L16	6.0
P-31	L17	18.0
P-32	L1	8.0
P-32	L2	14.0
P-32	L3	13.0
P-32	L4	6.0
P-32	L5	20.0
P-32	L6	9.0
P-32	L7	12.0
P-32	L8	14.0
P-32	L9	12.0
P-32	L10	8.0
P-32	L11	10.0
P-32	L12	4.0
P-32	L13	10.0
P-32	L14	9.0
P-32	L15	9.0
P-32	L16	7.0
P-32	L17	18.0
P-33	L1	12.0
P-33	L2	14.0
P-33	L3	14.0
P-33	L4	7.0
P-33	L5	22.0
P-33	L6	8.0
P-33	L7	14.0
P-33	L8	14.0
P-33	L9	11.0
P-33	L10	9.0
P-33	L11	12.0
P-33	L12	5.0
P-33	L13	10.0
P-33	L14	10.0
P-33	L15	9.0
P-33	L16	7.0
P-33	L17	20.0
P-34	L1	10.0
P-34	L2	14.0
P-34	L3	11.0
P-34	L4	6.0
P-34	L5	20.0
P-34	L6	8.0
P-34	L7	12.0
P-34	L8	12.0
P-34	L9	10.0
P-34	L10	9.0
P-34	L11	12.0
P-34	L12	4.0
P-34	L13	10.0
P-34	L14	9.0
P-34	L15	10.0
P-34	L16	7.0
P-34	L17	20.0
P-35	L1	12.0
P-35	L2	14.0
P-35	L3	12.0
P-35	L4	6.0
P-35	L5	20.0
P-35	L6	8.0
P-35	L7	12.0
P-35	L8	14.0
P-35	L9	10.0
P-35	L10	8.0
P-35	L11	10.0
P-35	L12	4.0
P-35	L13	10.0
P-35	L14	10.0
P-35	L15	10.0
P-35	L16	8.0
P-35	L17	20.0
P-36	L1	10.0
P-36	L2	14.0
P-36	L3	13.0
P-36	L4	6.0
P-36	L5	20.0
P-36	L6	8.0
P-36	L7	12.0
P-36	L8	12.0
P-36	L9	10.0
P-36	L10	8.0
P-36	L11	10.0
P-36	L12	4.0
P-36	L13	9.0
P-36	L14	10.0
P-36	L15	9.0
P-36	L16	6.0
P-36	L17	20.0
P-37	L1	10.0
P-37	L2	14.0
P-37	L3	12.0
P-37	L4	6.0
P-37	L5	18.0
P-37	L6	8.0
P-37	L7	12.0
P-37	L8	12.0
P-37	L9	10.0
P-37	L10	8.0
P-37	L11	10.0
P-37	L12	4.0
P-37	L13	9.0
P-37	L14	10.0
P-37	L15	8.0
P-37	L16	6.0
P-37	L17	14.0
P-38	L1	10.0
P-38	L2	12.0
P-38	L3	11.0
P-38	L4	5.0
P-38	L5	18.0
P-38	L6	7.0
P-38	L7	10.0
P-38	L8	10.0
P-38	L9	9.0
P-38	L10	7.0
P-38	L11	9.0
P-38	L12	3.0
P-38	L13	8.0
P-38	L14	8.0
P-38	L15	8.0
P-38	L16	6.0
P-38	L17	15.0
P-39	L1	12.0
P-39	L2	12.0
P-39	L3	11.0
P-39	L4	6.0
P-39	L5	18.0
P-39	L6	8.0
P-39	L7	10.0
P-39	L8	12.0
P-39	L9	10.0
P-39	L10	8.0
P-39	L11	10.0
P-39	L12	4.0
P-39	L13	9.0
P-39	L14	8.0
P-39	L15	8.0
P-39	L16	6.0
P-39	L17	18.0
P-40	L1	10.0
P-40	L2	10.0
P-40	L3	11.0
P-40	L4	5.0
P-40	L5	16.0
P-40	L6	7.0
P-40	L7	9.0
P-40	L8	10.0
P-40	L9	9.0
P-40	L10	8.0
P-40	L11	9.0
P-40	L12	4.0
P-40	L13	8.0
P-40	L14	10.0
P-40	L15	8.0
P-40	L16	6.0
P-40	L17	15.0
